,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),Target,Predicciones
0,-0.9006811702978088,1.019004351971607,-1.3402265266227624,-1.3154442950077403,0,0
1,-1.1430169111851105,-0.13197947932162468,-1.3402265266227624,-1.3154442950077403,0,0
2,-1.3853526520724133,0.32841405319566835,-1.3970639535363654,-1.3154442950077403,2,2
3,-1.5065205225160652,0.09821728693702184,-1.2833890997091593,-1.3154442950077403,1,1
4,-1.0218490407414595,1.2492011182302534,-1.3402265266227624,-1.3154442950077403,1,1
5,-0.537177558966854,1.939791417006192,-1.1697142458819532,-1.0521799264271385,0,0
6,-1.5065205225160652,0.7888075857129604,-1.3402265266227624,-1.1838121107174393,0,0
7,-1.0218490407414595,0.7888075857129604,-1.2833890997091593,-1.3154442950077403,1,1
8,-1.7488562634033669,-0.3621762455802712,-1.3402265266227624,-1.3154442950077403,2,1
9,-1.1430169111851105,0.09821728693702184,-1.2833890997091593,-1.4470764792980408,2,2
10,-0.537177558966854,1.4793978844889,-1.2833890997091593,-1.3154442950077403,1,1
11,-1.2641847816287624,0.7888075857129604,-1.226551672795556,-1.3154442950077403,2,2
12,-1.2641847816287624,-0.13197947932162468,-1.3402265266227624,-1.4470764792980408,1,1
13,-1.870024133847019,-0.13197947932162468,-1.5107388073635717,-1.4470764792980408,2,2
14,-0.05250607719224957,2.1699881832648384,-1.4539013804499687,-1.3154442950077403,1,1
15,-0.1736739476359004,3.090775248299425,-1.2833890997091593,-1.0521799264271385,0,0
16,-0.537177558966854,1.939791417006192,-1.3970639535363654,-1.0521799264271385,2,2
17,-0.9006811702978088,1.019004351971607,-1.3402265266227624,-1.1838121107174393,1,1
18,-0.1736739476359004,1.7095946507475455,-1.1697142458819532,-1.1838121107174393,0,0
19,-0.9006811702978088,1.7095946507475455,-1.2833890997091593,-1.1838121107174393,0,0
20,-0.537177558966854,0.7888075857129604,-1.1697142458819532,-1.3154442950077403,0,0
21,-0.9006811702978088,1.4793978844889,-1.2833890997091593,-1.0521799264271385,1,1
22,-1.5065205225160652,1.2492011182302534,-1.567576234277175,-1.3154442950077403,2,2
23,-0.9006811702978088,0.5586108194543139,-1.1697142458819532,-0.9205477421368377,0,0
24,-1.2641847816287624,0.7888075857129604,-1.0560393920547466,-1.3154442950077403,0,0
25,-1.0218490407414595,-0.13197947932162468,-1.226551672795556,-1.3154442950077403,0,0
26,-1.0218490407414595,0.7888075857129604,-1.226551672795556,-1.0521799264271385,1,1
27,-0.7795132998541568,1.019004351971607,-1.2833890997091593,-1.3154442950077403,0,0
28,-0.7795132998541568,0.7888075857129604,-1.3402265266227624,-1.3154442950077403,1,1
29,-1.3853526520724133,0.32841405319566835,-1.226551672795556,-1.3154442950077403,2,2
30,-1.2641847816287624,0.09821728693702184,-1.226551672795556,-1.3154442950077403,0,0
31,-0.537177558966854,0.7888075857129604,-1.2833890997091593,-1.0521799264271385,1,1
32,-0.7795132998541568,2.400184949523484,-1.2833890997091593,-1.4470764792980408,2,2
33,-0.4160096885232032,2.6303817157821316,-1.3402265266227624,-1.3154442950077403,0,0
34,-1.1430169111851105,0.09821728693702184,-1.2833890997091593,-1.3154442950077403,2,2
35,-1.0218490407414595,0.32841405319566835,-1.4539013804499687,-1.3154442950077403,2,2
36,-0.4160096885232032,1.019004351971607,-1.3970639535363654,-1.3154442950077403,1,1
37,-1.1430169111851105,1.2492011182302534,-1.3402265266227624,-1.4470764792980408,1,1
38,-1.7488562634033669,-0.13197947932162468,-1.3970639535363654,-1.3154442950077403,2,2
39,-0.9006811702978088,0.7888075857129604,-1.2833890997091593,-1.3154442950077403,1,1
40,-1.0218490407414595,1.019004351971607,-1.3970639535363654,-1.1838121107174393,0,0
41,-1.6276883929597161,-1.7433568431321493,-1.3970639535363654,-1.1838121107174393,1,1
42,-1.7488562634033669,0.32841405319566835,-1.3970639535363654,-1.3154442950077403,2,2
43,-1.0218490407414595,1.019004351971607,-1.226551672795556,-0.7889155578465368,0,0
44,-0.9006811702978088,1.7095946507475455,-1.0560393920547466,-1.0521799264271385,0,0
45,-1.2641847816287624,-0.13197947932162468,-1.3402265266227624,-1.1838121107174393,1,1
46,-0.9006811702978088,1.7095946507475455,-1.226551672795556,-1.3154442950077403,1,1
47,-1.5065205225160652,0.32841405319566835,-1.3402265266227624,-1.3154442950077403,0,0
48,-0.658345429410506,1.4793978844889,-1.2833890997091593,-1.3154442950077403,2,2
49,-1.0218490407414595,0.5586108194543139,-1.3402265266227624,-1.3154442950077403,0,0
50,1.401508368131566,0.32841405319566835,0.5354085615261415,0.26414191647586993,0,0
51,0.6745011454696588,0.32841405319566835,0.4217337076989351,0.3957741007661709,1,1
52,1.2803404976879151,0.09821728693702184,0.6490834153533479,0.3957741007661709,1,1
53,-0.4160096885232032,-1.7433568431321493,0.13754657313091936,0.13250973218556925,2,2
54,0.7956690159133096,-0.5923730118389178,0.47857113461253803,0.3957741007661709,1,2
55,-0.1736739476359004,-0.5923730118389178,0.4217337076989351,0.13250973218556925,2,2
56,0.5533332750260068,0.5586108194543139,0.5354085615261415,0.5274062850564719,2,2
57,-1.1430169111851105,-1.513160076873503,-0.26031541526430274,-0.26238682068533337,1,1
58,0.9168368863569605,-0.3621762455802712,0.47857113461253803,0.13250973218556925,0,0
59,-0.7795132998541568,-0.8225697780975633,0.08070914621731616,0.26414191647586993,0,0
60,-1.0218490407414595,-2.433947141908088,-0.14664056143709636,-0.26238682068533337,2,2
61,0.06866179325140237,-0.13197947932162468,0.2512214269581257,0.3957741007661709,2,2
62,0.18982966369505322,-1.9735536093907948,0.13754657313091936,-0.26238682068533337,0,0
63,0.31099753413870407,-0.3621762455802712,0.5354085615261415,0.26414191647586993,0,0
64,-0.29484181807955234,-0.3621762455802712,-0.08980313452349317,0.13250973218556925,0,0
65,1.0380047568006125,0.09821728693702184,0.36489628078533215,0.26414191647586993,1,1
66,-0.29484181807955234,-0.13197947932162468,0.4217337076989351,0.3957741007661709,2,2
67,-0.05250607719224957,-0.8225697780975633,0.1943840000445223,-0.26238682068533337,0,0
68,0.432165404582356,-1.9735536093907948,0.4217337076989351,0.3957741007661709,2,2
69,-0.29484181807955234,-1.2829633106148564,0.08070914621731616,-0.1307546363950324,2,2
70,0.06866179325140237,0.32841405319566835,0.5922459884397444,0.7906706536370736,0,0
71,0.31099753413870407,-0.5923730118389178,0.13754657313091936,0.13250973218556925,1,1
72,0.5533332750260068,-1.2829633106148564,0.6490834153533479,0.3957741007661709,1,1
73,0.31099753413870407,-0.5923730118389178,0.5354085615261415,0.0008775478952682834,2,2
74,0.6745011454696588,-0.3621762455802712,0.30805885387172866,0.13250973218556925,1,1
75,0.9168368863569605,-0.13197947932162468,0.36489628078533215,0.26414191647586993,2,2
76,1.1591726272442633,-0.5923730118389178,0.5922459884397444,0.26414191647586993,0,0
77,1.0380047568006125,-0.13197947932162468,0.7059208422669508,0.6590384693467726,2,2
78,0.18982966369505322,-0.3621762455802712,0.4217337076989351,0.3957741007661709,1,1
79,-0.1736739476359004,-1.0527665443562098,-0.14664056143709636,-0.26238682068533337,2,2
80,-0.4160096885232032,-1.513160076873503,0.023871719303712964,-0.1307546363950324,1,1
81,-0.4160096885232032,-1.513160076873503,-0.032965707609889976,-0.26238682068533337,1,1
82,-0.05250607719224957,-0.8225697780975633,0.08070914621731616,0.0008775478952682834,1,1
83,0.18982966369505322,-0.8225697780975633,0.7627582691805538,0.5274062850564719,0,0
84,-0.537177558966854,-0.13197947932162468,0.4217337076989351,0.3957741007661709,1,1
85,0.18982966369505322,0.7888075857129604,0.4217337076989351,0.5274062850564719,1,1
86,1.0380047568006125,0.09821728693702184,0.5354085615261415,0.3957741007661709,0,0
87,0.5533332750260068,-1.7433568431321493,0.36489628078533215,0.13250973218556925,1,1
88,-0.29484181807955234,-0.13197947932162468,0.1943840000445223,0.13250973218556925,2,2
89,-0.4160096885232032,-1.2829633106148564,0.13754657313091936,0.13250973218556925,2,2
90,-0.4160096885232032,-1.0527665443562098,0.36489628078533215,0.0008775478952682834,0,0
91,0.31099753413870407,-0.13197947932162468,0.47857113461253803,0.26414191647586993,1,1
92,-0.05250607719224957,-1.0527665443562098,0.13754657313091936,0.0008775478952682834,2,2
93,-1.0218490407414595,-1.7433568431321493,-0.26031541526430274,-0.26238682068533337,2,2
94,-0.29484181807955234,-0.8225697780975633,0.2512214269581257,0.13250973218556925,0,0
95,-0.1736739476359004,-0.13197947932162468,0.2512214269581257,0.0008775478952682834,2,2
96,-0.1736739476359004,-0.3621762455802712,0.2512214269581257,0.13250973218556925,0,0
97,0.432165404582356,-0.3621762455802712,0.30805885387172866,0.13250973218556925,1,1
98,-0.9006811702978088,-1.2829633106148564,-0.4308276960051121,-0.1307546363950324,2,2
99,-0.1736739476359004,-0.5923730118389178,0.1943840000445223,0.13250973218556925,2,2
100,0.5533332750260068,0.5586108194543139,1.2742951114029821,1.7120959436691794,1,1
101,-0.05250607719224957,-0.8225697780975633,0.7627582691805538,0.9223028379273742,2,2
102,1.522676238575217,-0.13197947932162468,1.2174576844893792,1.185567206507976,1,1
103,0.5533332750260068,-0.3621762455802712,1.0469454037485695,0.7906706536370736,1,1
104,0.7956690159133096,-0.13197947932162468,1.1606202575757758,1.317199390798277,2,2
105,2.1285155907934734,-0.13197947932162468,1.6153196728846009,1.185567206507976,2,2
106,-1.1430169111851105,-1.2829633106148564,0.4217337076989351,0.6590384693467726,0,0
107,1.7650119794625196,-0.3621762455802712,1.4448073921437916,0.7906706536370736,1,1
108,1.0380047568006125,-1.2829633106148564,1.1606202575757758,0.7906706536370736,2,2
109,1.643844109018869,1.2492011182302534,1.331132538316585,1.7120959436691794,0,0
110,0.7956690159133096,0.32841405319566835,0.7627582691805538,1.053935022217675,1,1
111,0.6745011454696588,-0.8225697780975633,0.8764331230077601,0.9223028379273742,2,2
